book_id,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,choice_11,choice_12,choice_13,choice_14,choice_15,choice_16,choice_17,choice_18,choice_19,choice_20
96,99,34,218,843,203,334,56,1104,52,49,676,904,861,3,965,1143,812,796,69,2183
97,71,390,95,205,651,298,1354,7,72,512,293,19,29,160,28,63,14,116,547,237
98,140,16,17,26,2272,20,31,1,9,201,30,110,135,23,33,21,46,25,24,27
99,96,34,218,843,203,334,1104,56,52,49,676,904,3,965,1143,796,812,69,861,1295
100,118,33,57,115,11,150,272,22,136,111,101,198,453,508,119,236,5,261,304,265
101,372,344,534,943,238,236,115,398,50,2579,181,92,127,118,1923,508,82,100,1040,1856
102,157,251,59,339,296,50,85,391,358,364,278,798,579,335,876,626,549,905,158,888
103,109,413,83,71,79,76,778,288,19,42,293,43,66,14,95,222,89,361,58,209
104,815,28,13,119,65,8,14,212,48,1121,113,1319,55,45,32,268,115,131,173,121
105,69,12,376,91,1045,259,20,423,319,506,309,206,607,17,1054,134,6,2457,153,7672
106,290,352,2925,745,101,208,534,372,630,30,1044,1162,190,1,1494,1942,320,6804,617,690
107,152,44,420,169,683,622,686,552,571,286,302,1414,716,1459,3,269,120,64,821,34
108,955,1063,78,228,952,308,411,156,1436,1111,509,777,310,75,761,647,136,2581,44,465
109,103,83,778,66,42,79,194,43,76,160,15,29,58,10,177,116,498,172,204,71
110,135,165,188,39,1995,1496,3775,17,27,155,98,21,24,161,20,140,25,722,2312,510
111,57,22,64,136,46,118,231,33,38,31,625,273,11,44,186,261,310,381,132,148
112,566,318,235,262,61,6,940,1017,313,267,567,285,438,333,811,939,404,482,31,164
113,65,129,8,173,13,55,14,5,48,28,32,54,162,131,130,194,301,297,94,177
114,132,784,329,64,26,199,44,179,256,57,9,40,1330,31,123,15,35,315,22,87
115,100,101,121,398,22,118,272,45,181,212,38,236,557,516,261,60,304,111,65,508
116,58,293,204,29,361,529,160,138,83,32,42,650,59,478,14,413,131,15,93,1178
117,1196,37,59,1530,93,245,36,561,158,219,15,50,292,133,7,77,241,793,42,321
118,33,136,272,198,261,57,100,848,1714,11,42,111,66,15,76,409,22,75,311,236
119,13,55,198,178,14,28,883,104,48,572,100,118,5,354,150,65,117,32,60,33
120,1718,2054,2270,500,136,107,78,64,3,263,77,443,44,4977,108,667,228,615,541,245
121,5,65,94,181,13,162,194,213,560,173,8,55,14,177,115,323,172,32,58,28
122,1884,2028,2192,22,4317,62,620,205,33,46,16,7,138,167,150,57,45,118,38,5
123,281,227,86,343,596,833,963,628,1057,966,242,1245,1037,1407,1301,1564,9,1733,726,266
124,22,30,60,31,64,111,46,57,216,482,16,268,445,333,11,38,67,414,231,273
125,154,29,353,248,714,79,770,341,804,839,530,58,301,71,160,116,83,138,5,824
126,276,371,70,54,400,1105,442,1687,19,48,1262,288,55,503,13,7,72,360,65,222
127,211,193,92,1344,508,398,236,969,892,1621,82,1111,537,101,442,932,310,288,777,741
128,1926,6363,4803,690,1333,537,2707,3129,1309,2388,5336,1415,3488,2442,3235,1035,932,1078,3152,7200
129,173,113,28,8,32,14,13,65,198,55,395,178,48,116,5,162,131,297,225,350
130,401,264,395,131,32,194,213,14,116,301,730,138,58,597,28,5,8,177,29,79
131,32,225,28,130,58,14,116,138,83,4,160,8,5,63,730,29,15,395,461,79
132,114,784,44,64,174,329,22,111,9,26,57,31,46,1440,40,35,123,107,448,33
133,93,42,1210,1112,59,958,37,116,639,76,10,15,204,497,540,158,66,681,444,171
134,153,51,309,319,183,607,351,460,202,12,69,419,210,418,384,394,543,214,175,182
135,110,165,188,39,3775,1995,1496,98,17,2527,24,25,27,140,722,161,21,2312,2149,18
136,57,75,78,228,118,261,741,409,1111,272,111,515,381,44,108,310,777,31,22,33
137,463,554,712,864,1026,1275,66,272,136,3,1723,53,1111,33,44,288,379,496,222,76
138,387,29,58,154,63,116,160,83,71,131,15,59,646,125,79,32,28,43,130,301
139,884,1948,88,185,12,91,147,252,182,51,277,74,69,20,348,183,41,153,535,275
140,98,16,17,26,20,2272,201,30,9,23,1,33,135,110,24,188,31,142,165,21
141,215,623,6517,742,1046,910,850,1263,285,458,2728,3659,1816,112,1326,445,4461,1490,389,695
142,642,440,67,33,16,150,11,26,9,148,496,186,311,46,273,31,118,457,137,123
143,437,146,668,47,2538,459,359,458,1195,313,291,678,318,253,610,1538,940,262,267,414
144,610,208,870,1333,2636,366,190,31,1404,767,1734,482,9993,3572,1241,2647,3488,81,2263,9359
145,170,9,201,26,227,640,240,281,343,1296,123,596,1592,628,833,1037,242,511,575,86
146,143,494,1220,3840,3734,3041,2797,3181,4780,5208,4054,3320,3520,1198,1009,2572,2191,359,1141,3785
147,435,149,74,88,234,1244,443,6,68,12,541,280,139,475,615,164,254,206,166,51
148,33,3352,186,150,3322,273,57,4723,776,1171,1777,2191,3939,136,111,272,5053,2308,3181,2797
149,475,147,435,88,12,363,206,1849,6,280,995,2104,275,254,452,827,166,74,632,525
150,33,148,186,57,273,46,11,100,31,198,136,22,38,118,142,67,111,311,1171,119
151,214,159,175,41,294,163,428,370,684,909,1027,1359,153,51,2420,447,134,3220,345,309
152,169,107,286,420,622,552,683,686,302,571,44,716,1414,1459,821,1103,34,269,1215,64
153,134,309,51,319,183,351,607,460,384,202,12,69,394,419,418,210,543,151,182,214
154,125,353,29,714,248,770,804,79,341,839,824,138,773,387,530,71,58,531,646,555
155,161,19,189,7,964,611,347,23,21,18,27,219,37,332,25,24,126,542,292,110
156,455,1111,647,694,777,310,108,78,228,741,1072,44,308,411,465,509,1430,1268,75,136
157,251,364,798,358,102,391,59,296,339,1348,976,85,579,278,50,728,3274,158,444,335
158,335,184,59,416,373,1938,251,157,102,50,93,37,1258,346,391,868,278,1662,364,77
159,214,175,151,41,294,163,428,370,684,909,1027,1359,134,3220,51,153,2420,447,2719,17
160,83,590,361,204,116,138,29,58,63,125,43,248,131,154,79,76,171,341,32,353
161,155,19,189,7,964,611,219,18,21,347,23,25,24,27,602,37,126,332,542,292
162,213,872,614,301,180,177,55,13,2024,1624,8,121,14,485,129,65,113,173,576,130
163,294,428,159,175,370,214,151,684,41,909,1027,1359,340,51,1008,2420,183,12,153,1634
164,324,88,827,348,363,6,813,74,275,991,149,1203,147,1004,112,68,921,2962,995,2104
165,188,110,135,39,1995,1496,6356,3775,6497,1249,1053,307,2312,23,2564,21,1525,17,20,27
166,655,1054,280,206,187,254,12,224,182,525,91,1523,51,1276,202,1413,1302,327,69,340
167,666,322,283,312,377,766,277,282,54,2674,400,232,2170,62,442,729,584,1895,755,192
168,176,72,1419,349,232,670,305,2093,237,675,243,553,612,578,556,205,84,1292,1248,488
169,152,286,107,302,552,420,571,683,622,716,686,44,1414,1459,821,674,1103,667,3,3894
170,145,9,201,26,640,240,227,343,281,596,1296,123,628,86,660,588,575,1592,487,6888
171,76,230,10,471,451,43,42,63,160,29,93,83,133,172,138,204,15,66,116,293
172,498,177,560,63,485,5,171,559,109,160,131,76,125,43,95,194,29,361,121,154
173,129,113,65,14,55,350,13,788,28,297,48,162,8,196,121,499,178,54,95,405
174,132,299,505,448,1097,44,64,504,1218,1670,40,114,1697,1025,329,1438,107,412,3,199
175,214,159,151,41,294,163,428,684,370,909,1027,1359,134,153,51,2420,3220,17,351,319
176,305,237,72,243,168,349,556,553,578,675,670,705,865,1139,967,1123,1208,818,488,703
177,485,498,172,213,162,95,125,160,13,301,1041,79,109,130,14,560,597,83,138,194
178,129,8,3381,198,5,119,483,782,14,173,604,162,284,28,2921,468,317,95,121,180
179,2252,81,22,15,118,198,114,11,33,238,265,87,82,148,994,199,767,57,67,32
180,162,1015,213,489,35,323,130,287,13,576,14,284,410,48,80,79,95,819,301,129
181,236,398,508,121,82,101,13,65,209,72,975,48,14,15,4,55,8,92,5,127
182,1147,1425,224,2358,254,202,51,600,415,166,183,246,153,134,210,1140,645,756,1276,583
183,351,460,51,134,153,309,319,607,756,202,224,182,12,210,327,393,254,355,340,759
184,416,158,373,335,59,2123,1258,278,391,245,1662,251,77,93,364,358,296,50,157,1938
185,139,277,312,850,584,167,6,47,417,17,46,535,122,38,322,1,262,20,438,192
186,1501,700,1537,33,764,148,150,31,64,46,111,2710,273,136,78,311,9,228,67,75
187,519,781,1398,166,8197,51,355,73,369,41,645,254,234,586,280,1523,875,263,12,1
188,165,135,110,39,1995,307,2149,1496,1249,25,21,565,27,192,1246,9257,8755,17,6497,140
189,161,155,19,7,964,219,466,37,18,24,126,21,27,54,251,611,289,158,59,25
190,40,82,144,208,352,617,146,30,106,238,421,61,1942,318,2590,8051,290,697,4211,4660
191,365,568,532,1199,766,1950,1077,2760,1886,502,7405,5312,2143,735,2782,173,490,14,360,97
192,307,389,562,746,330,598,565,215,39,188,450,1049,603,167,859,917,1479,283,165,1254
193,127,211,1344,92,892,537,969,1705,1926,1069,1621,247,5424,2220,7111,4699,550,315,1371,260
194,79,58,130,83,71,597,301,109,160,32,116,121,341,14,498,28,361,138,177,5
195,31,57,906,396,136,46,273,118,409,417,1024,111,148,150,291,47,1011,60,231,272
196,484,951,1124,1236,854,499,173,1389,350,205,788,84,129,72,54,65,14,32,68,55
197,527,563,558,631,652,624,724,748,871,1201,1588,2430,3,3611,3759,246,1273,34,433,1086
198,118,354,317,129,468,32,15,763,409,33,131,4,42,57,28,59,311,150,119,63
199,64,114,44,31,136,169,221,2885,46,78,40,216,111,22,179,1234,9,186,3,465
200,671,672,1058,1732,1741,1410,2235,3752,1461,446,1240,6212,6512,5861,4240,3229,6684,5041,274,7607
201,240,145,170,26,9,98,140,23,21,56,20,52,25,49,27,18,2822,447,17,69
202,434,583,224,1122,600,415,51,254,246,182,134,750,153,756,945,210,183,1276,880,2488
203,861,218,812,539,96,99,34,1295,965,589,962,334,796,644,938,2185,904,2333,1036,942
204,361,160,116,83,293,93,590,29,59,154,125,58,42,15,158,138,133,2168,76,529
205,696,898,1382,1533,1993,1217,1633,72,243,237,97,349,305,2347,553,176,84,578,675,556
206,423,506,1062,2532,2179,166,393,327,632,536,12,202,51,4195,750,252,319,224,134,69
207,912,996,1067,1151,1181,1226,1232,1267,1390,1377,1606,1627,1694,1821,2138,1811,1959,2094,2264,823
208,144,81,217,256,106,291,82,179,659,190,1404,15,60,45,273,317,87,2636,3307,2788
209,72,431,266,84,222,288,86,367,1802,731,243,237,181,103,205,305,866,274,176,1247
210,384,394,419,418,543,759,246,224,51,1416,202,415,153,1890,134,183,182,643,309,3095
211,127,193,1344,92,892,969,4417,247,315,1446,1621,537,1371,1601,1069,2444,3062,260,1516,550
212,453,2013,1133,268,115,948,104,22,407,820,45,5,919,727,119,233,60,33,63,1970
213,162,614,301,130,177,154,125,14,597,180,576,341,71,79,934,872,28,95,121,485
214,151,159,175,41,294,163,428,684,370,909,1027,1359,2420,134,153,447,309,23,51,319
215,141,307,565,192,1263,910,389,70,1730,970,862,4864,858,850,2904,603,3013,2189,1736,562
216,46,57,231,31,199,396,124,64,333,67,1471,273,132,111,22,136,47,754,11,692
217,771,538,208,1378,4962,688,3208,982,1514,181,236,3307,473,127,2418,195,291,256,3570,193
218,334,676,203,99,96,34,1846,965,904,796,812,1036,1673,2276,1143,1981,861,942,1295,2330
219,37,347,292,332,641,602,542,189,117,18,161,59,155,27,24,23,7,21,93,25
220,954,636,1109,3,1609,9011,717,49,52,56,1387,34,1619,449,246,4743,7837,415,2956,491
221,1897,3831,1234,15,64,425,199,1083,22,87,234,50,132,114,57,3,6670,381,241,238
222,288,588,1963,86,84,209,266,628,2789,989,367,227,72,2223,123,281,785,882,343,2203
223,918,1137,1172,1397,53,1764,41,263,314,3968,3339,9327,2291,1155,37,1504,77,2619,356,1323
224,600,945,202,415,1559,434,182,246,210,254,1276,583,1861,384,756,3617,183,1608,981,1830
225,131,32,395,129,1161,198,401,461,265,13,28,130,172,476,14,66,5,289,485,3465
226,244,30,61,262,235,939,2169,811,445,926,2207,438,404,3429,794,328,22,1345,105,98
227,281,343,123,596,833,86,963,1037,1057,1245,1388,1301,1733,1407,242,628,1902,266,1564,3240
228,78,108,310,75,1111,136,156,777,741,465,44,57,31,64,1430,261,3656,1417,509,1107
229,257,346,1486,518,116,158,58,792,826,248,529,80,251,3813,59,204,13,29,93,95
230,171,76,451,471,10,43,42,1114,829,1477,961,160,63,133,204,93,1073,4653,29,83
231,396,111,31,1300,273,318,64,46,825,57,313,216,482,67,1661,613,267,625,11,414
232,612,725,806,953,936,1053,1698,168,2713,915,349,176,1248,675,1261,967,553,1208,944,243
233,94,323,354,121,172,213,2419,63,669,130,5,198,80,301,160,401,476,212,560,284
234,147,1244,591,3919,77,2122,2148,369,187,443,2980,241,68,120,74,425,245,615,36,586
235,262,438,61,1834,1819,112,318,1028,1804,267,313,566,926,404,940,30,1306,437,811,939
236,82,398,508,1048,92,181,127,288,101,442,118,261,688,310,316,272,276,70,741,72
237,556,305,578,243,675,349,670,705,176,72,553,865,1075,967,1208,1123,703,911,818,488
238,1102,1856,2233,344,372,383,101,1839,534,81,179,604,495,306,22,326,4137,2579,60,1083
239,1056,929,168,191,502,167,5332,84,802,196,110,7038,104,914,3544,54,141,188,2034,283
240,201,170,145,26,9,69,12,105,17,1543,20,140,1092,1,98,2171,30,2822,2180,165
241,386,36,15,245,577,1369,77,388,321,1038,59,853,87,3790,2032,4,2068,117,263,369
242,266,336,2012,2184,2214,2398,1746,2547,726,227,2737,511,3066,86,2746,343,3223,2519,2277,2354
243,305,237,556,578,705,553,675,1075,176,911,670,349,967,72,488,865,1123,703,1208,739
244,226,30,61,262,1345,438,235,939,3745,2169,1819,926,473,124,105,3807,811,794,521,6
245,386,577,321,59,594,335,184,77,241,388,117,93,36,158,85,50,37,251,102,1742
246,449,491,643,783,814,805,1093,1958,415,224,210,2986,202,384,981,1696,1540,600,880,4038
247,260,1157,315,680,1507,3413,573,1750,5610,5873,1601,1303,1330,1446,1078,932,3495,582,1705,4465
248,530,154,804,125,29,855,773,353,714,1885,839,770,646,341,160,79,116,138,71,58
249,587,60,867,124,45,47,178,68,8,495,16,1238,196,104,2290,6,557,7486,2013,287
250,7989,1558,318,112,4814,164,1047,8548,3962,2838,7305,235,4541,6655,6,7034,5140,9823,837,267
251,157,798,364,358,296,391,1348,102,339,6334,579,59,3047,3274,601,976,444,278,876,454
252,581,774,1353,2254,393,206,327,183,363,536,51,1000,1505,163,752,535,423,3783,1413,842
253,695,1065,342,61,143,262,30,623,235,277,5828,931,4212,551,2888,16,226,4962,140,320
254,957,1585,224,182,202,415,51,166,246,434,875,134,340,2488,1608,183,2134,756,600,1302
255,287,903,8688,66,103,225,4298,168,26,180,42,37,205,496,5,311,84,9,142,16
256,7001,40,916,114,208,737,1515,136,878,238,148,659,4211,5703,574,690,1487,111,31,870
257,229,1486,346,518,293,529,158,390,154,4291,826,792,116,361,248,444,204,1108,80,335
258,1467,417,47,16,11,457,5022,33,60,424,142,982,4113,494,2833,35,118,22,4347,150
259,376,91,946,69,105,12,655,166,153,309,319,134,51,340,607,88,423,452,525,2265
260,680,247,1750,1507,1157,315,582,1078,573,2318,2560,1705,990,4411,1926,2548,3423,537,1446,1330
261,272,136,118,40,8659,78,75,4722,1111,2063,33,777,310,741,228,111,222,57,236,42
262,235,438,1804,1819,61,1028,1834,940,112,566,459,926,267,318,244,285,2772,226,30,979
263,77,2642,314,1175,1452,223,577,120,369,500,586,37,133,1445,241,184,282,245,187,707
264,401,395,130,5,301,131,1184,8,718,162,32,1031,125,177,79,341,65,531,58,13
265,461,42,198,179,118,1094,225,32,131,100,4,33,129,43,15,133,66,270,8,11
266,242,2012,2184,336,2398,86,2214,288,1746,2547,2737,209,3223,3066,2277,2746,222,227,2981,367
267,318,437,482,1482,3334,262,1794,235,61,2348,3962,112,6810,567,313,1499,1017,1599,4123,231
268,212,820,124,119,104,60,494,380,178,115,6180,522,467,13,727,883,414,557,233,68
269,3211,3503,4249,44,107,1711,465,2938,152,4141,647,1468,78,156,1417,509,1713,2075,6506,694
270,43,42,66,63,311,171,160,200,33,198,93,204,76,265,1058,116,118,230,1064,103
271,32,14,13,90,138,59,116,321,28,48,87,29,129,245,130,118,375,15,387,36
272,118,261,1131,136,57,75,669,741,33,100,1111,777,148,398,76,198,66,111,236,22
273,825,396,848,148,150,33,111,3007,31,46,231,186,57,118,136,11,67,7458,195,2322
274,123,989,2144,86,975,431,731,1100,866,9,209,200,671,227,222,281,726,16,511,72
275,88,382,74,324,1575,6,149,164,1583,68,1919,564,475,5320,147,187,51,632,1297,4033
276,789,890,1223,432,371,126,2196,400,442,1914,2646,3072,2624,54,1191,897,55,70,1019,48
277,167,312,322,666,282,185,139,377,283,3103,886,253,551,458,1982,2674,2832,850,813,141
278,786,50,358,85,798,296,157,251,364,549,391,661,454,339,627,728,59,905,102,335
279,4641,7523,6428,3526,1065,2179,7443,61,1062,2194,695,164,324,1668,105,12,506,1952,69,139
280,525,1118,166,435,655,1302,12,327,224,69,206,254,7013,202,632,91,149,210,9634,1413
281,227,123,343,596,86,833,1037,963,1057,1245,1388,628,1407,1733,1301,1564,242,785,1902,266
282,312,322,377,666,167,263,62,314,283,117,223,277,184,77,158,817,2674,7,37,518
283,167,322,666,429,894,1368,755,312,1089,377,2043,1342,1337,54,2271,3325,3362,2469,3359,282
284,1250,350,1570,180,178,301,162,129,8,401,1999,395,173,65,130,1329,131,323,1571,5
285,1442,678,262,2653,112,320,235,313,459,991,6,438,141,813,940,333,61,143,318,2583
286,302,169,152,571,552,683,622,716,1414,1459,420,686,821,107,44,1098,34,1103,3119,96
287,255,903,180,8688,103,4298,66,289,225,150,26,489,63,35,55,168,16,5,33,14
288,222,628,84,266,1643,785,2242,86,209,2730,2859,367,1972,2666,227,123,72,281,989,343
289,14,59,28,375,7,158,32,116,826,19,131,93,476,198,133,213,37,204,117,130
290,1044,106,352,2925,5698,4211,931,1046,1162,2206,3324,3822,605,9163,190,617,262,3555,3599,7916
291,697,407,273,906,396,1159,11,359,208,143,100,414,948,195,46,115,57,31,67,515
292,347,602,542,641,332,37,219,1530,117,7,19,1937,362,493,155,2,161,27,1196,1629
293,478,116,529,413,361,1178,2361,706,1207,58,204,390,590,1354,778,257,639,1434,1695,1120
294,428,163,684,159,214,175,151,909,370,1027,1359,41,2420,1008,1952,134,51,340,4449,3526
295,441,794,1576,1360,1182,305,578,2979,176,609,623,553,488,349,72,911,1427,665,243,168
296,339,728,798,251,454,358,579,391,364,549,971,157,876,844,1211,545,102,1632,2096,888
297,405,65,2975,1074,2098,129,173,1676,55,48,1704,113,13,3068,1800,2552,54,14,1019,180
298,547,1204,972,390,2158,699,1555,503,637,432,97,478,71,293,529,48,706,487,13,413
299,1097,1438,505,448,174,412,1747,504,1925,1929,9419,797,3448,5270,132,329,2256,1218,7587,303
300,15,31,241,47,762,64,221,9,22,727,186,3206,1,44,198,152,5959,311,11,1369
301,213,125,162,194,130,138,28,71,264,715,177,58,531,79,154,718,701,646,6768,5
302,286,152,169,552,571,683,821,716,622,1414,420,1459,686,107,44,1098,3119,2580,1103,34
303,1855,4518,573,1079,315,719,1865,790,5487,680,744,3009,2912,247,4894,1750,3674,1507,1189,3669
304,306,1159,326,847,625,22,885,1317,1567,1386,515,1762,46,2000,381,111,1145,1675,100,64
305,556,578,237,243,349,675,176,705,553,865,670,967,72,1139,1123,703,1075,818,911,488
306,304,326,22,238,476,179,198,733,118,115,111,148,625,33,2000,704,132,1159,885,81
307,192,565,188,746,862,562,603,1254,1511,450,330,165,215,389,1049,2006,949,1119,1304,722
